,Course Code,Course Name,Course Description,Instructor(s),Terms Offered,Prerequisite(s),Equivalent Courses,Notes
0,BASQ 12000,Elementary Basque I,"First of the three basic-language sequence in Basque language. It provides students with a solid foundation in the basic patterns of spoken and written Basque (e.g., grammar, vocabulary, sociolinguistic norms) and emphasizes all four skills: speaking, listening, writing, and reading. This course is intended for students with no previous exposure to Basque and for those who need an in-depth review of the patterns of the language.",None,Autumn,None,None,None
1,BASQ 12100,Elementary Basque II,"Second segment of the first-year course sequence in Basque language. It provides students with a solid foundation in the basic patterns of spoken and written Basque (e.g., grammar, vocabulary, sociolinguistic norms) and emphasizes all four skills: speaking, listening, writing, and reading.",None,Winter,BASQ 12000 or consent of instructor.,None,None
2,BASQ 12200,Elementary Basque III,"Third and final segment of the basic-language Basque sequence. It provides students with a solid foundation in the basic patterns of spoken and written Basque (e.g., grammar, vocabulary, sociolinguistic norms) and emphasizes all four skills: speaking, listening, writing, and reading.",None,Spring,BASQ 12100 or consent of instructor.,None,None
3,BASQ 21100,Basque Culture and Society,"Straddling the border of southern France and northern Spain, the Basque Country is the home of a complex national community without a state -but with a language that is unrelated to any other in the world and is perhaps the most remarkable feature of their cultural identity.  Through the analysis of a wide variety of texts and artifacts, this course will give students the the background to navigate through different dimensions of Basque culture (traditions, gastronomy, music, the language) as well as the history that has marked the development of Basque society (including the so-called Basque Conflict).",None,Winter,None,Taught in English. Prior knowledge of Basque language or culture not required.,"SPAN 21101, GLST 21100"
4,BASQ 24700,Introduction to Basque Culture,"Straddling the border of southern France and northern Spain, the land of the Basques has long been home to a people who had no country of their own but have always viewed themselves as a nation. No one has ever been able to find their roots, and their peculiar language is not related to any other in the world, but they have managed to keep their mysterious identity alive, even if many other civilizations tried to blot it out. The aim of this course is to create real situations that will enable the students to learn the meaning of Basque culture. It will be a guided tour throughout Basque history and society. Students will learn about the mysterious origins of the language; they will visit the most beautiful places of the Basque country; they will get to know and appreciate Basque traditions, gastronomy, music . . . and most importantly, they will be able to compare and contrast their own cultures and share their ideas during the lessons, creating an enriching atmosphere full of entertaining activities, such as listening to music, reading legends and tales, watching documentaries, and much more.",None,None,None,This course will be conducted in English. Prior knowledge of Basque language or culture is not required. Course not offered in 24-25.,"SPAN 24701, GLST 24700"
5,BASQ 24710,Spanish Cinema-Basque Cinema,"This course explores Basque cinema from its beginnings to our days while also reviewing Spanish cinema from a Basque point of view. Among other topics, the course will explore the nationalist imaginary and its influence in film, the centrality of gender (and motherly) representations in Basque cinema, Basque films' recent tendency to become Spanish blockbusters outselling Hollywood, and allusions to the Basque Country in Spanish cinema.",None,None,None,Course not offered in 24-25.,"CMLT 23810, SPAN 24716"
6,BASQ 24730,The Revitalization of the Basque Language,"In the last 30 years, the Basque language has seen an increase in the number of speakers, especially among younger groups.  The implementation of several language and cultural policies, along with a transformation in the educational system, has been key to this development. In this course we will explore these revitalizing practices used in the Basque Country by analyzing the sociolinguistic situation of Basque language from the transition to democracy in the late 1970s to the present.",None,Spring,None,Taught in English.,"LING 24730, SPAN 24730"
7,BASQ 29300,El ciclo de cuentos en la ficción ibérica contemporánea,"Short stories are usually read as discrete pieces of writing, valued for their individuality and the completeness of their effect on readers.  However, they are not always presented in complete isolation, but come inserted in collections where the company of other stories may create connections similar to those found in larger works of fiction (to the extent that certain groups of short stories can almost be read like novels).  The collection of stories has a long literary tradition, but in the last century a particular form -the so called short story cycle- has emerged as a way of testing the boundaries of extended narratives.  In this course, and through the study of a number of books representative of the short story cycle in Iberian literatures, we will explore the poetics of fiction (short and long) and the formal and interpretative challenges presented by the genre.",Mario Santana,Course not offered in 24-25.,SPAN 20300 or consent of instructor,Taught in Spanish. Course not offered in 24-25.,"SPAN 39300, CATA 29300, SPAN 29300"
8,BASQ 29700,Readings in Special Topics,This course is a study of advanced language or directed readings in special topics not covered by courses offered as part of the program in Basque. Subjects treated and work completed for the course must be chosen in consultation with the instructor no later than the end of the preceding quarter.,None,None,"BASQ 12200, depending upon the requirements of the program for which credit is sought.",None,Students are required to submit the College Reading and Research Course Form.
9,CATA 12200,Catalan for Speakers of Romance Languages I,"This course is intended for speakers of other Romance languages to quickly develop competence in spoken and written Catalan. In this introductory course, students learn ways to apply their skills in another Romance language to mastering Catalan by concentrating on the similarities and differences between the two languages. Students with a placement of 20100 or higher in any of the other Romance Languages are eligible to take CATA 12200 for completion of the College Language Competency Requirement.",Staff,Autumn Spring,"Although familiarity with a Romance language is strongly recommended, students with no prior knowledge of a Romance language are also welcome.",None,None
